Code,Country,Income
AFG,Afghanistan,LMIC
ALB,Albania,LMIC
DZA,Algeria,LMIC
ASM,American Samoa,LMIC
AND,Andorra,HIC
AGO,Angola,LMIC
AIA,Anguilla,LMIC
ATG,Antigua and Barbuda,HIC
ARG,Argentina,LMIC
ARM,Armenia,LMIC
ABW,Aruba,HIC
AUS,Australia,HIC
AUT,Austria,HIC
AZE,Azerbaijan,LMIC
BHS,Bahamas,HIC
BHR,Bahrain,HIC
BGD,Bangladesh,LMIC
BRB,Barbados,HIC
BLR,Belarus,LMIC
BEL,Belgium,HIC
BLZ,Belize,LMIC
BEN,Benin,LMIC
BMU,Bermuda,HIC
BTN,Bhutan,LMIC
BOL,Bolivia,LMIC
BOL,Bolivia,LMIC
BIH,Bosnia and Herzegovina,LMIC
BWA,Botswana,LMIC
BRA,Brazil,LMIC
BRN,Brunei Darussalam,HIC
BRN,Brunei,HIC
BGR,Bulgaria,LMIC
BFA,Burkina Faso,LMIC
BDI,Burundi,LMIC
KHM,Cambodia,LMIC
CMR,Cameroon,LMIC
CAN,Canada,HIC
CPV,Cape Verde,LMIC
CYM,Cayman Islands,HIC
CAF,Central African Republic,LMIC
TCD,Chad,LMIC
CHL,Chile,HIC
CHN,China,HIC
COL,Colombia,LMIC
COM,Comoros,LMIC
COG,Congo,LMIC
COD,Congo,LMIC
CRI,Costa Rica,LMIC
CIV,Côte d'Ivoire,LMIC
CIV,Ivory Coast,LMIC
HRV,Croatia,HIC
CUB,Cuba,LMIC
CYP,Cyprus,HIC
CZE,Czech Republic,HIC
DNK,Denmark,HIC
DJI,Djibouti,LMIC
DMA,Dominica,LMIC
DOM,Dominican Republic,LMIC
ECU,Ecuador,LMIC
EGY,Egypt,LMIC
SLV,El Salvador,LMIC
GNQ,Equatorial Guinea,LMIC
ERI,Eritrea,LMIC
EST,Estonia,HIC
ETH,Ethiopia,LMIC
FRO,Faroe Islands,HIC
FJI,Fiji,LMIC
FIN,Finland,HIC
FRA,France,HIC
GUF,French Guiana,LMIC
PYF,French Polynesia,HIC
GAB,Gabon,LMIC
GMB,Gambia,LMIC
DEU,Germany,HIC
GHA,Ghana,LMIC
GIB,Gibraltar,HIC
GRC,Greece,HIC
GRL,Greenland,HIC
GRD,Grenada,LMIC
GLP,Guadeloupe,LMIC
GUM,Guam,HIC
GTM,Guatemala,LMIC
GIN,Guinea,LMIC
GNB,Guinea-Bissau,LMIC
GUY,Guyana,LMIC
HTI,Haiti,LMIC
HND,Honduras,LMIC
HKG,Hong Kong,HIC
HUN,Hungary,HIC
ISL,Iceland,HIC
IND,India,LMIC
IDN,Indonesia,LMIC
IRN,Iran,LMIC
IRQ,Iraq,LMIC
IRL,Ireland,HIC
IMN,Isle of Man,HIC
ISR,Israel,HIC
ITA,Italy,HIC
JAM,Jamaica,LMIC
JPN,Japan,HIC
JOR,Jordan,LMIC
KAZ,Kazakhstan,LMIC
KEN,Kenya,LMIC
KIR,Kiribati,LMIC
KOR,Korea,HIC
KOR,South Korea,HIC
KWT,Kuwait,HIC
KGZ,Kyrgyzstan,LMIC
LAO,Lao People's Democratic Republic,LMIC
LVA,Latvia,HIC
LBN,Lebanon,LMIC
LSO,Lesotho,LMIC
LBR,Liberia,LMIC
LBY,Libyan Arab Jamahiriya,LMIC
LBY,Libya,LMIC
LIE,Liechtenstein,HIC
LTU,Lithuania,HIC
LUX,Luxembourg,HIC
MAC,Macao,LMIC
MKD,Macedonia,LMIC
MDG,Madagascar,LMIC
MWI,Malawi,LMIC
MYS,Malaysia,LMIC
MDV,Maldives,LMIC
MLI,Mali,LMIC
MLT,Malta,HIC
MHL,Marshall Islands,LMIC
MTQ,Martinique,LMIC
MRT,Mauritania,LMIC
MUS,Mauritius,LMIC
MEX,Mexico,LMIC
FSM,Micronesia,LMIC
MDA,Moldova,LMIC
MCO,Monaco,HIC
MNG,Mongolia,LMIC
MNE,Montenegro,LMIC
MAR,Morocco,LMIC
MOZ,Mozambique,LMIC
MMR,Myanmar,LMIC
MMR,Burma,LMIC
NAM,Namibia,LMIC
NRU,Nauru,HIC
NPL,Nepal,LMIC
NLD,Netherlands,HIC
NCL,New Caledonia,HIC
NZL,New Zealand,HIC
NIC,Nicaragua,LMIC
NER,Niger,LMIC
NGA,Nigeria,LMIC
MNP,Northern Mariana Islands,HIC
NOR,Norway,HIC
OMN,Oman,HIC
PAK,Pakistan,LMIC
PLW,Palau,HIC
PSE,Palestinian Territory,LMIC
PAN,Panama,LMIC
PRY,Paraguay,LMIC
PER,Peru,LMIC
PHL,Philippines,LMIC
POL,Poland,HIC
PRT,Portugal,HIC
PRI,Puerto Rico,HIC
QAT,Qatar,HIC
REU,Réunion,HIC
ROU,Romania,LMIC
RUS,Russian Federation,LMIC
RUS,Russia,LMIC
RWA,Rwanda,LMIC
KNA,Saint Kitts and Nevis,HIC
LCA,Saint Lucia,LMIC
VCT,Saint Vincent and the Grenadines,LMIC
VCT,Saint Vincent & the Grenadines,LMIC
VCT,St. Vincent and the Grenadines,LMIC
WSM,Samoa,LMIC
SMR,San Marino,HIC
STP,Sao Tome and Principe,HIC
SAU,Saudi Arabia,HIC
SEN,Senegal,LMIC
SRB,Serbia,LMIC
SYC,Seychelles,HIC
SLE,Sierra Leone,LMIC
SGP,Singapore,HIC
SVK,Slovakia,HIC
SVN,Slovenia,HIC
SLB,Solomon Islands,LMIC
SOM,Somalia,LMIC
ZAF,South Africa,LMIC
ESP,Spain,HIC
LKA,Sri Lanka,LMIC
SDN,Sudan,LMIC
SUR,Suriname,LMIC
SWZ,Swaziland,LMIC
SWE,Sweden,HIC
CHE,Switzerland,HIC
SYR,Syrian Arab Republic,LMIC
TWN,Taiwan,HIC
TWN,Taiwan,HIC
TJK,Tajikistan,LMIC
TZA,Tanzania,LMIC
THA,Thailand,LMIC
TLS,Timor-Leste,LMIC
TGO,Togo,LMIC
TON,Tonga,LMIC
TTO,Trinidad and Tobago,HIC
TUN,Tunisia,LMIC
TUR,Turkey,LMIC
TKM,Turkmenistan,LMIC
TCA,Turks and Caicos Islands,HIC
TUV,Tuvalu,LMIC
UGA,Uganda,LMIC
UKR,Ukraine,LMIC
ARE,United Arab Emirates,HIC
GBR,United Kingdom,HIC
USA,United States,HIC
URY,Uruguay,HIC
UZB,Uzbekistan,LMIC
VUT,Vanuatu,LMIC
VEN,Venezuela,LMIC
VEN,Venezuela,LMIC
VNM,Viet Nam,LMIC
VNM,Vietnam,LMIC
VGB,Virgin Islands,HIC
VIR,Virgin Islands,HIC
YEM,Yemen,LMIC
ZMB,Zambia,LMIC
ZWE,Zimbabwe,LMIC
